Frame,FPS
1,48.91
2,4.39
3,232.47
4,139.38
5,394.34
6,379.74
7,376.26
8,427.17
9,428.14
10,418.13
11,448.43
12,389.32
13,390.59
14,445.42
15,409.57
16,424.57
17,389.42
18,403.19
19,399.22
20,378.40
21,411.07
22,393.82
23,414.25
24,429.17
25,401.46
26,429.68
27,407.78
28,458.44
29,337.33
30,400.80
31,364.03
32,430.61
33,421.50
34,357.23
35,411.62
36,379.33
37,371.48
38,365.88
39,386.41
40,420.01
41,360.04
42,338.91
43,302.30
44,366.60
45,365.32
46,418.01
47,384.54
48,396.06
49,359.88
50,427.31
51,453.87
52,462.77
53,453.25
54,413.91
55,457.33
56,469.46
57,463.31
58,411.93
59,436.22
60,380.85
61,389.15
62,421.16
63,431.56
64,442.79
65,405.24
66,419.34
67,447.57
68,425.62
69,427.20
70,437.25
71,451.37
72,427.20
73,420.50
74,441.68
75,384.69
76,399.90
77,380.26
78,388.24
79,376.05
80,409.78
81,422.42
82,413.46
83,453.17
84,440.72
85,439.77
86,445.55
87,425.89
88,424.59
89,430.42
90,446.29
91,405.51
92,457.79
93,443.40
94,444.46
95,429.46
96,432.40
97,435.84
98,461.13
99,445.18
100,439.66
101,430.09
102,488.02
103,435.96
104,398.45
105,438.04
106,409.11
107,406.47
108,404.55
109,365.20
110,396.79
111,382.07
112,407.71
113,362.16
114,374.46
115,338.90
116,334.07
117,384.84
118,341.45
119,367.03
120,367.76
121,368.95
122,372.87
123,348.80
124,319.62
125,362.37
126,375.21
127,329.20
128,362.24
129,401.66
130,452.26
131,435.86
132,402.19
133,422.65
134,421.51
135,428.34
136,435.09
137,395.54
138,416.13
139,441.70
140,413.75
141,454.07
142,431.33
143,425.53
144,423.07
145,440.88
146,426.31
147,408.50
148,444.54
149,461.68
150,447.17
151,440.99
152,384.76
153,421.64
154,427.83
155,373.32
156,427.15
157,354.19
158,395.95
159,415.21
160,391.99
161,439.46
162,386.34
163,402.56
164,417.90
165,402.40
166,457.69
167,433.75
168,394.55
169,401.17
170,399.04
171,437.01
172,423.94
173,435.43
174,420.43
175,463.80
176,458.74
177,430.72
178,402.61
179,440.72
180,402.72
181,397.76
182,442.13
183,427.79
184,371.76
185,422.17
186,399.98
187,387.34
188,447.01
189,445.67
190,439.54
191,454.88
192,469.20
193,381.31
194,440.57
195,446.39
196,419.29
197,438.64
198,426.15
199,397.50
200,381.02
201,440.49
202,451.22
203,428.26
204,227.83
205,418.78
206,436.53
207,468.69
208,418.15
209,404.60
210,459.07
211,420.22
212,446.37
213,452.80
214,442.13
215,395.16
216,436.85
217,448.53
218,435.14
219,459.45
220,438.94
221,431.20
222,391.25
223,404.16
224,416.53
225,408.90
226,408.43
227,452.24
228,381.33
229,403.18
230,415.27
231,382.80
232,438.06
233,352.29
234,419.02
235,413.41
236,341.30
237,320.23
238,355.18
239,337.86
240,344.57
241,421.85
242,370.07
243,371.97
244,323.54
245,349.76
246,364.66
247,370.14
248,300.41
249,325.97
250,326.37
251,340.60
252,365.79
253,326.73
254,338.82
255,354.02
256,363.57
257,378.09
258,304.06
259,336.73
260,357.14
261,343.04
262,358.41
263,336.56
264,349.31
265,363.03
266,376.41
267,330.24
268,341.67
269,298.24
270,324.77
271,375.91
272,316.52
273,325.93
274,350.64
275,356.72
276,359.87
277,294.32
278,318.67
279,361.91
280,370.99
281,346.52
282,326.04
283,361.98
284,366.72
285,350.87
286,351.09
287,324.57
288,337.67
289,258.38
290,329.06
291,308.41
292,328.27
293,330.17
294,355.27
295,315.34
296,301.95
297,356.61
298,339.52
299,360.22
300,365.22
301,373.72
302,373.08
303,356.32
304,373.32
305,341.03
306,370.45
307,363.50
308,354.11
309,374.39
310,356.72
311,410.36
312,371.53
313,374.57
314,410.44
315,364.41
316,414.61
317,364.50
318,361.32
319,278.13
320,398.04
321,425.95
322,347.94
323,434.90
324,440.00
325,439.79
326,437.96
327,429.17
328,432.00
329,454.98
330,435.98
331,446.85
332,432.83
333,451.39
334,431.39
335,438.46
336,422.69
337,409.23
338,445.93
339,425.46
340,411.35
341,416.32
342,440.16
343,430.11
344,453.13
345,410.16
346,387.61
347,435.73
348,326.54
349,368.49
350,345.63
351,418.52
352,338.59
353,350.71
354,363.90
355,375.18
356,362.66
357,316.12
358,334.48
359,334.38
360,363.16
361,329.03
362,349.55
363,349.42
364,293.69
365,298.33
366,326.86
367,364.58
368,413.82
369,341.19
370,335.71
371,369.75
372,318.44
373,300.10
374,376.83
375,338.85
376,341.49
377,356.13
378,297.72
379,326.23
380,343.14
381,339.95
382,345.93
383,320.40
384,329.82
385,292.80
386,258.97
387,205.44
388,359.93
389,332.98
390,328.02
391,336.44
392,352.51
393,336.19
394,347.07
395,343.44
396,350.79
397,338.63
398,363.32
399,375.26
400,381.59
401,259.10
402,260.65
403,303.45
404,259.03
405,307.88
406,266.46
407,257.31
408,298.20
409,301.99
410,295.08
411,360.56
412,328.47
413,326.63
414,310.48
415,357.07
416,369.05
417,357.97
418,333.85
419,354.52
420,339.49
421,248.85
422,317.14
423,353.26
424,334.11
425,358.40
426,376.41
427,405.17
428,363.25
429,371.51
430,413.02
431,411.96
432,387.00
433,385.79
434,436.97
435,441.42
436,370.40
437,346.74
438,334.48
439,323.58
440,403.98
441,367.48
442,346.48
443,337.70
444,304.01
445,294.89
446,341.34
447,361.22
448,371.97
449,375.66
450,304.86
451,356.62
452,334.24
453,343.50
454,291.38
455,315.58
456,336.41
457,374.36
458,351.47
459,369.60
460,368.50
461,346.24
462,343.57
463,360.10
464,364.86
465,363.97
466,322.05
467,342.44
468,365.20
469,300.12
470,346.45
471,373.19
472,345.36
473,339.49
474,289.55
475,345.26
476,363.09
477,345.77
478,361.51
479,359.83
480,348.32
481,363.58
482,308.81
483,367.22
484,338.91
485,299.36
486,362.82
487,325.00
488,325.71
489,372.27
490,357.51
491,311.33
492,394.31
493,373.12
494,430.20
495,446.05
496,429.33
497,443.24
498,422.53
499,441.77
500,466.01
501,451.67
502,433.88
503,434.76
504,416.01
505,417.08
506,380.40
507,350.59
508,363.74
509,369.81
510,359.13
511,331.28
512,376.22
513,327.27
514,367.11
515,358.98
516,328.32
517,338.18
518,368.31
519,330.21
520,323.14
521,320.37
522,336.69
523,329.43
524,321.63
525,365.35
526,304.57
527,361.25
528,374.11
529,359.21
530,328.48
531,305.94
532,344.60
533,372.05
534,380.31
535,364.96
536,333.89
537,342.06
538,367.90
539,365.02
540,371.76
541,334.09
542,349.56
543,366.77
544,346.20
545,316.03
546,373.02
547,363.24
548,375.52
549,324.96
550,412.37
551,324.83
552,431.98
553,343.67
554,431.00
555,415.25
556,421.23
557,426.27
558,433.39
559,363.19
560,348.20
561,368.87
562,257.29
563,321.13
564,373.36
565,328.08
566,318.75
567,365.93
568,361.18
569,373.12
570,344.89
571,321.57
572,348.57
573,341.53
574,312.63
575,341.38
576,304.11
577,367.66
578,373.73
579,323.57
580,340.31
581,350.21
582,319.87
583,358.72
584,353.63
585,362.65
586,358.40
587,312.87
588,319.94
589,347.94
590,333.29
591,310.11
592,365.24
593,336.03
594,340.15
595,368.12
596,369.62
597,343.01
598,358.01
599,323.01
600,311.71
601,341.70
602,364.02
603,360.57
604,314.69
605,320.17
606,331.66
607,322.74
608,303.62
609,302.95
610,338.89
611,306.88
612,358.08
613,328.00
614,332.37
615,368.77
616,335.06
617,372.14
618,370.84
619,335.83
620,316.24
621,332.34
622,378.64
623,398.52
624,342.59
625,425.19
626,411.79
627,415.77
628,373.73
629,432.69
630,424.92
631,432.84
632,441.87
633,446.49
634,431.15
635,433.58
636,426.62
637,343.19
638,425.53
639,393.19
640,383.82
641,441.46
642,455.95
643,329.39
644,414.32
645,409.03
646,371.95
647,436.99
648,349.53
649,389.89
650,432.56
651,338.95
652,436.85
653,392.40
654,430.03
655,380.72
656,416.75
657,426.29
658,376.97
659,388.33
660,376.51
661,412.80
662,421.62
663,421.89
664,332.21
665,364.30
666,426.86
667,365.83
668,402.56
669,388.03
670,350.63
671,438.56
672,453.60
673,357.62
674,330.80
675,359.21
676,337.27
677,421.64
678,343.01
679,268.98
680,367.16
681,374.01
682,364.36
683,381.39
684,417.97
685,337.44
686,352.65
687,272.47
688,54.20
689,228.97
690,320.64
691,331.50
692,286.99
693,317.85
694,309.93
695,351.86
696,352.71
697,356.25
698,353.23
699,313.29
700,350.63
701,354.70
702,333.78
703,348.52
704,356.39
705,359.09
706,419.48
707,358.94
708,352.80
709,350.79
710,333.87
711,339.13
712,412.10
713,355.86
714,343.75
715,341.30
716,309.10
717,345.54
718,322.20
719,315.40
720,285.69
721,279.17
722,306.36
723,355.00
724,329.53
725,342.72
726,303.61
