Frame,FPS
1,37.27
2,4.01
3,188.47
4,290.48
5,383.94
6,364.96
7,409.27
8,374.35
9,374.45
10,357.04
11,322.58
12,367.77
13,344.31
14,367.89
15,329.24
16,351.79
17,312.02
18,338.73
19,342.59
20,316.74
21,355.56
22,319.99
23,393.84
24,363.32
25,312.55
26,383.97
27,341.62
28,352.50
29,315.81
30,290.94
31,359.91
32,339.09
33,317.47
34,367.82
35,352.60
36,332.69
37,319.03
38,336.68
39,343.52
40,342.54
41,313.27
42,331.93
43,359.98
44,359.74
45,329.83
46,339.59
47,351.93
48,342.11
49,362.61
50,343.12
51,343.97
52,316.60
53,320.31
54,386.73
55,347.88
56,364.17
57,356.04
58,401.19
59,383.74
60,356.80
61,402.25
62,359.87
63,391.83
64,359.67
65,354.30
66,407.53
67,368.94
68,308.38
69,315.42
70,359.29
71,321.08
72,407.63
73,304.60
74,359.44
75,368.37
76,348.08
77,374.95
78,366.30
79,350.58
80,398.17
81,366.30
82,400.24
83,337.84
84,406.55
85,338.60
86,323.71
87,403.13
88,249.88
89,355.93
90,349.52
91,390.37
92,385.45
93,362.15
94,364.39
95,340.60
96,362.61
97,397.63
98,341.44
99,360.05
100,415.45
101,372.98
102,361.17
103,411.69
104,417.12
105,433.16
106,379.64
107,403.31
108,405.63
109,385.76
110,412.56
111,409.37
112,440.88
113,412.87
114,423.91
115,387.54
116,426.80
117,447.53
118,455.08
119,453.27
120,437.58
121,410.51
122,427.39
123,403.42
124,376.66
125,404.06
126,382.64
127,403.94
128,437.33
129,446.33
130,440.68
131,412.95
132,418.27
133,439.19
134,405.10
135,413.89
136,384.54
137,411.78
138,403.94
139,416.56
140,435.05
141,407.83
142,426.95
143,424.70
144,433.18
145,423.60
146,434.35
147,421.71
148,378.86
149,399.47
150,423.84
151,395.48
152,370.78
153,416.39
154,401.72
155,397.11
156,421.48
157,426.26
158,348.00
159,397.74
160,406.08
161,363.83
162,369.39
163,367.51
164,386.65
165,395.23
166,405.65
167,365.86
168,399.33
169,408.21
170,407.17
171,419.66
172,407.88
173,410.27
174,397.69
175,423.55
176,404.33
177,416.70
178,414.80
179,405.58
180,350.40
181,399.97
182,425.21
183,440.14
184,369.89
185,347.29
186,335.28
187,352.62
188,353.93
189,372.23
190,374.34
191,346.01
192,358.09
193,296.07
194,362.42
195,366.46
196,355.47
197,354.66
198,329.94
199,348.95
200,342.17
201,331.60
202,347.89
203,315.18
204,366.76
205,369.25
206,360.36
207,354.30
208,363.57
209,343.42
210,310.60
211,328.67
212,343.50
213,196.43
214,226.25
215,345.79
216,358.08
217,218.19
218,336.36
219,247.79
220,274.83
221,263.90
222,223.40
223,268.56
224,281.75
225,320.22
226,360.76
227,337.66
228,337.68
229,296.74
230,351.53
231,353.29
232,362.21
233,341.27
234,367.62
235,362.24
236,312.94
237,349.99
238,350.93
239,369.45
240,343.56
241,337.35
242,332.57
243,350.55
244,355.80
245,360.23
246,334.84
247,365.76
248,348.50
249,363.49
250,325.50
251,348.10
252,370.19
253,325.67
254,335.67
255,347.49
256,327.32
257,333.87
258,307.02
259,368.23
260,365.87
261,361.55
262,381.11
263,416.79
264,375.01
265,412.42
266,369.55
267,339.41
268,405.56
269,428.14
270,437.08
271,408.56
272,263.69
273,369.33
274,432.62
275,389.20
276,414.56
277,358.37
278,349.87
279,426.53
280,426.13
281,393.14
282,406.47
283,367.48
284,409.60
285,353.07
286,337.40
287,290.10
288,311.11
289,368.74
290,335.58
291,353.03
292,317.69
293,344.80
294,364.15
295,367.57
296,361.18
297,356.57
298,347.40
299,334.72
300,368.35
301,374.25
302,370.40
303,334.14
304,357.13
305,349.33
306,369.66
307,362.98
308,347.80
309,340.57
310,362.65
311,346.87
312,400.22
313,344.32
